Layer Name,Weight n°,Shape
conv3_block4_3_bn,4,"(512,)"
conv4_block1_1_conv,1,"(1, 1, 512, 256)"
conv4_block1_1_conv,2,"(256,)"
conv4_block1_1_bn,1,"(256,)"
conv4_block1_1_bn,2,"(256,)"
conv4_block1_1_bn,3,"(256,)"
conv4_block1_1_bn,4,"(256,)"
conv4_block1_2_conv,1,"(3, 3, 256, 256)"
conv4_block1_2_conv,2,"(256,)"
conv4_block1_2_bn,1,"(256,)"
conv4_block1_2_bn,2,"(256,)"
conv4_block1_2_bn,3,"(256,)"
conv4_block1_2_bn,4,"(256,)"
conv4_block1_0_conv,1,"(1, 1, 512, 1024)"
conv4_block1_0_conv,2,"(1024,)"
conv4_block1_3_conv,1,"(1, 1, 256, 1024)"
conv4_block1_3_conv,2,"(1024,)"
conv4_block1_0_bn,1,"(1024,)"
conv4_block1_0_bn,2,"(1024,)"
conv4_block1_0_bn,3,"(1024,)"
conv4_block1_0_bn,4,"(1024,)"
conv4_block1_3_bn,1,"(1024,)"
conv4_block1_3_bn,2,"(1024,)"
conv4_block1_3_bn,3,"(1024,)"
conv4_block1_3_bn,4,"(1024,)"
conv4_block2_1_conv,1,"(1, 1, 1024, 256)"
conv4_block2_1_conv,2,"(256,)"
conv4_block2_1_bn,1,"(256,)"
conv4_block2_1_bn,2,"(256,)"
conv4_block2_1_bn,3,"(256,)"
conv4_block2_1_bn,4,"(256,)"
conv4_block2_2_conv,1,"(3, 3, 256, 256)"
conv4_block2_2_conv,2,"(256,)"
conv4_block2_2_bn,1,"(256,)"
conv4_block2_2_bn,2,"(256,)"
conv4_block2_2_bn,3,"(256,)"
conv4_block2_2_bn,4,"(256,)"
conv4_block2_3_conv,1,"(1, 1, 256, 1024)"
conv4_block2_3_conv,2,"(1024,)"
conv4_block2_3_bn,1,"(1024,)"
conv4_block2_3_bn,2,"(1024,)"
conv4_block2_3_bn,3,"(1024,)"
conv4_block2_3_bn,4,"(1024,)"
conv4_block3_1_conv,1,"(1, 1, 1024, 256)"
conv4_block3_1_conv,2,"(256,)"
conv4_block3_1_bn,1,"(256,)"
conv4_block3_1_bn,2,"(256,)"
conv4_block3_1_bn,3,"(256,)"
conv4_block3_1_bn,4,"(256,)"
conv4_block3_2_conv,1,"(3, 3, 256, 256)"
conv4_block3_2_conv,2,"(256,)"
conv4_block3_2_bn,1,"(256,)"
conv4_block3_2_bn,2,"(256,)"
conv4_block3_2_bn,3,"(256,)"
conv4_block3_2_bn,4,"(256,)"
conv4_block3_3_conv,1,"(1, 1, 256, 1024)"
conv4_block3_3_conv,2,"(1024,)"
conv4_block3_3_bn,1,"(1024,)"
conv4_block3_3_bn,2,"(1024,)"
conv4_block3_3_bn,3,"(1024,)"
conv4_block3_3_bn,4,"(1024,)"
conv4_block4_1_conv,1,"(1, 1, 1024, 256)"
conv4_block4_1_conv,2,"(256,)"
conv4_block4_1_bn,1,"(256,)"
conv4_block4_1_bn,2,"(256,)"
conv4_block4_1_bn,3,"(256,)"
conv4_block4_1_bn,4,"(256,)"
conv4_block4_2_conv,1,"(3, 3, 256, 256)"
conv4_block4_2_conv,2,"(256,)"
conv4_block4_2_bn,1,"(256,)"
conv4_block4_2_bn,2,"(256,)"
conv4_block4_2_bn,3,"(256,)"
conv4_block4_2_bn,4,"(256,)"
conv4_block4_3_conv,1,"(1, 1, 256, 1024)"
conv4_block4_3_conv,2,"(1024,)"
conv4_block4_3_bn,1,"(1024,)"
conv4_block4_3_bn,2,"(1024,)"
conv4_block4_3_bn,3,"(1024,)"
conv4_block4_3_bn,4,"(1024,)"
conv4_block5_1_conv,1,"(1, 1, 1024, 256)"
conv4_block5_1_conv,2,"(256,)"
conv4_block5_1_bn,1,"(256,)"
conv4_block5_1_bn,2,"(256,)"
conv4_block5_1_bn,3,"(256,)"
conv4_block5_1_bn,4,"(256,)"
conv4_block5_2_conv,1,"(3, 3, 256, 256)"
conv4_block5_2_conv,2,"(256,)"
conv4_block5_2_bn,1,"(256,)"
conv4_block5_2_bn,2,"(256,)"
conv4_block5_2_bn,3,"(256,)"
conv4_block5_2_bn,4,"(256,)"
conv4_block5_3_conv,1,"(1, 1, 256, 1024)"
conv4_block5_3_conv,2,"(1024,)"
conv4_block5_3_bn,1,"(1024,)"
conv4_block5_3_bn,2,"(1024,)"
conv4_block5_3_bn,3,"(1024,)"
conv4_block5_3_bn,4,"(1024,)"
conv4_block6_1_conv,1,"(1, 1, 1024, 256)"
conv4_block6_1_conv,2,"(256,)"
conv4_block6_1_bn,1,"(256,)"
conv4_block6_1_bn,2,"(256,)"
conv4_block6_1_bn,3,"(256,)"
conv4_block6_1_bn,4,"(256,)"
conv4_block6_2_conv,1,"(3, 3, 256, 256)"
conv4_block6_2_conv,2,"(256,)"
conv4_block6_2_bn,1,"(256,)"
conv4_block6_2_bn,2,"(256,)"
conv4_block6_2_bn,3,"(256,)"
conv4_block6_2_bn,4,"(256,)"
conv4_block6_3_conv,1,"(1, 1, 256, 1024)"
conv4_block6_3_conv,2,"(1024,)"
conv4_block6_3_bn,1,"(1024,)"
